"","_id","CIVIC_CENTRE","DEATH_LICENSES","PLACE_OF_DEATH","TIME_PERIOD"
"250",23917,"SC",59,"Outside City Limits","2014-04"
"251",23918,"SC",402,"Toronto","2014-04"
"252",23919,"ET",78,"Outside City Limits","2014-05"
"253",23920,"ET",330,"Toronto","2014-05"
"254",23921,"NY",63,"Outside City Limits","2014-05"
"255",23922,"NY",296,"Toronto","2014-05"
"256",23923,"SC",108,"Outside City Limits","2014-05"
"257",23924,"SC",398,"Toronto","2014-05"
"258",23925,"ET",95,"Outside City Limits","2014-06"
"259",23926,"ET",371,"Toronto","2014-06"
"260",23927,"NY",99,"Outside City Limits","2014-06"
"261",23928,"NY",404,"Toronto","2014-06"
"262",23929,"SC",63,"Outside City Limits","2014-06"
"263",23930,"SC",390,"Toronto","2014-06"
"264",23931,"ET",116,"Outside City Limits","2014-07"
"265",23932,"ET",393,"Toronto","2014-07"
"266",23933,"NY",119,"Outside City Limits","2014-07"
"267",23934,"NY",454,"Toronto","2014-07"
"268",23935,"SC",44,"Outside City Limits","2014-07"
"269",23936,"SC",258,"Toronto","2014-07"
"270",23937,"ET",80,"Outside City Limits","2014-08"
"271",23938,"ET",301,"Toronto","2014-08"
"272",23939,"NY",103,"Outside City Limits","2014-08"
"273",23940,"NY",277,"Toronto","2014-08"
"274",23941,"SC",120,"Outside City Limits","2014-08"
"275",23942,"SC",518,"Toronto","2014-08"
"276",23943,"ET",105,"Outside City Limits","2014-09"
"277",23944,"ET",274,"Toronto","2014-09"
"278",23945,"NY",94,"Outside City Limits","2014-09"
"279",23946,"NY",391,"Toronto","2014-09"
"280",23947,"SC",96,"Outside City Limits","2014-09"
"281",23948,"SC",427,"Toronto","2014-09"
"282",23949,"ET",92,"Outside City Limits","2014-10"
"283",23950,"ET",297,"Toronto","2014-10"
"284",23951,"NY",59,"Outside City Limits","2014-10"
"285",23952,"NY",454,"Toronto","2014-10"
"286",23953,"SC",81,"Outside City Limits","2014-10"
"287",23954,"SC",459,"Toronto","2014-10"
"288",23955,"ET",138,"Outside City Limits","2014-11"
"289",23956,"ET",467,"Toronto","2014-11"
"290",23957,"NY",93,"Outside City Limits","2014-11"
"291",23958,"NY",267,"Toronto","2014-11"
"292",23959,"SC",71,"Outside City Limits","2014-11"
"293",23960,"SC",432,"Toronto","2014-11"
"294",23961,"ET",111,"Outside City Limits","2014-12"
"295",23962,"ET",308,"Toronto","2014-12"
"296",23963,"NY",73,"Outside City Limits","2014-12"
"297",23964,"NY",441,"Toronto","2014-12"
"298",23965,"SC",85,"Outside City Limits","2014-12"
"299",23966,"SC",482,"Toronto","2014-12"
"300",23967,"ET",158,"Outside City Limits","2015-01"
"301",23968,"ET",487,"Toronto","2015-01"
"302",23969,"NY",119,"Outside City Limits","2015-01"
"303",23970,"NY",422,"Toronto","2015-01"
"304",23971,"SC",94,"Outside City Limits","2015-01"
"305",23972,"SC",580,"Toronto","2015-01"
"306",23973,"ET",132,"Outside City Limits","2015-02"
"307",23974,"ET",543,"Toronto","2015-02"
"308",23975,"NY",93,"Outside City Limits","2015-02"
"309",23976,"NY",210,"Toronto","2015-02"
"310",23977,"SC",107,"Outside City Limits","2015-02"
"311",23978,"SC",500,"Toronto","2015-02"
"312",23979,"ET",139,"Outside City Limits","2015-03"
"313",23980,"ET",584,"Toronto","2015-03"
"314",23981,"NY",65,"Outside City Limits","2015-03"
"315",23982,"NY",347,"Toronto","2015-03"
"316",23983,"SC",63,"Outside City Limits","2015-03"
"317",23984,"SC",367,"Toronto","2015-03"
"318",23985,"ET",113,"Outside City Limits","2015-04"
"319",23986,"ET",399,"Toronto","2015-04"
"320",23987,"NY",126,"Outside City Limits","2015-04"
"321",23988,"NY",345,"Toronto","2015-04"
"322",23989,"SC",60,"Outside City Limits","2015-04"
"323",23990,"SC",436,"Toronto","2015-04"
"324",23991,"ET",64,"Outside City Limits","2015-05"
"325",23992,"ET",273,"Toronto","2015-05"
"326",23993,"NY",94,"Outside City Limits","2015-05"
"327",23994,"NY",422,"Toronto","2015-05"
"328",23995,"SC",49,"Outside City Limits","2015-05"
"329",23996,"SC",364,"Toronto","2015-05"
"330",23997,"ET",124,"Outside City Limits","2015-06"
"331",23998,"ET",319,"Toronto","2015-06"
"332",23999,"NY",54,"Outside City Limits","2015-06"
"333",24000,"NY",363,"Toronto","2015-06"
"334",24001,"SC",93,"Outside City Limits","2015-06"
"335",24002,"SC",450,"Toronto","2015-06"
"336",24003,"ET",93,"Outside City Limits","2015-07"
"337",24004,"ET",374,"Toronto","2015-07"
"338",24005,"NY",76,"Outside City Limits","2015-07"
"339",24006,"NY",369,"Toronto","2015-07"
"340",24007,"SC",94,"Outside City Limits","2015-07"
"341",24008,"SC",466,"Toronto","2015-07"
"342",24009,"ET",81,"Outside City Limits","2015-08"
"343",24010,"ET",334,"Toronto","2015-08"
"344",24011,"NY",111,"Outside City Limits","2015-08"
"345",24012,"NY",484,"Toronto","2015-08"
"346",24013,"SC",97,"Outside City Limits","2015-08"
"347",24014,"SC",416,"Toronto","2015-08"
"348",24015,"ET",75,"Outside City Limits","2015-09"
"349",24016,"ET",310,"Toronto","2015-09"
"350",24017,"NY",87,"Outside City Limits","2015-09"
"351",24018,"NY",333,"Toronto","2015-09"
"352",24019,"SC",86,"Outside City Limits","2015-09"
"353",24020,"SC",432,"Toronto","2015-09"
"354",24021,"ET",158,"Outside City Limits","2015-10"
"355",24022,"ET",401,"Toronto","2015-10"
"356",24023,"NY",79,"Outside City Limits","2015-10"
"357",24024,"NY",301,"Toronto","2015-10"
"358",24025,"SC",83,"Outside City Limits","2015-10"
